X,Y,LICENSE,APPLICANT,TRADE_NAME,CLASS,ADDRESS,ZIPCODE,WARD,ANC,SMD,STATUS,TYPE,BREW_PUB,ENTERTAINMENT,SALES_CONSUMPTION,SIDEWALK_CAFE,SUMMER_GARDEN,TASTING,WINE_PUB,COVERCHARGE,DANCING,OFFPREMISESTORAGE,STORAGEFACILITY,DISTILLERY_PUB,TOTAL_CAPACITY,GAMES_OF_SKILL,SPORTS_WAGGERING,CARRYOUT_DELIVERY,STREATERY,XCOORD,YCOORD,LONGITUDE,LATITUDE,MAR_ID,GIS_ID,GLOBALID,CREATOR,CREATED,EDITOR,EDITED,OBJECTID,EXPIRATION_DATE,CO_CAPACITY
-8583458.20197418,4711652.53525555,ABRA-123532,"Collevecchio, LLC",Claudio's Table,C,5441 MACARTHUR BOULEVARD NW,20016,Ward 3,ANC 3D,SMD 3D04,Active,Restaurant,,,,,,,,,,,,,87,,,CHECKED,CHECKED,390764.4,140242.33,-77.10651462,38.93001286,285212,ABCALicenseePt_17283,{18F61D24-59FB-4D40-B0B1-989D32556D78},JLAY,2024/08/05 23:21:02+00,JLAY,2024/08/05 23:25:21+00,17283,2025/03/31 04:00:00+00,87
-8583450.23606607,4711636.30206325,ABRA-089668,"Hyun, Inc.",Mimi's Convenience,B,5435 MACARTHUR BOULEVARD NW,20016,Ward 3,ANC 3D,SMD 3D04,Active,Retail - Grocery,,,,,,,,,,,,,,,,,,390770.59,140229.73,-77.10644306,38.92989942,224231,ABCALicenseePt_17284,{643428BA-9F1F-4E2A-81DE-D19E7B3E91CF},JLAY,2024/08/05 23:21:02+00,JLAY,2024/08/05 23:25:21+00,17284,2026/09/30 04:00:00+00,
-8583036.84194258,4711183.64738197,ABRA-108149,"Winovisor, LLC","Winovisor, LLC",B,5185 MACARTHUR BOULEVARD NW,20016,Ward 3,ANC 3D,SMD 3D04,Active,Internet,,,,,,CHECKED,,,,,,,,,,,,391092.19,139878.21,-77.10272948,38.92673614,275285,ABCALicenseePt_17285,{F89EE05E-1D16-4D87-8589-C067C49AE34E},JLAY,2024/08/05 23:21:02+00,JLAY,2024/08/05 23:25:21+00,17285,2026/09/30 04:00:00+00,
-8583036.84194258,4711183.64738197,ABRA-125344,"BG & AS Beverage, LLC",Mac Market & Deli,A,5185 MACARTHUR BOULEVARD NW,20016,Ward 3,ANC 3D,SMD 3D04,Active,Retail - Liquor Store,,,,,,CHECKED,,,,,,,,,,,,391092.19,139878.21,-77.10272948,38.92673614,275285,ABCALicenseePt_17286,{59AE470D-41D6-4E1A-A73E-7AC5ADA0E39C},JLAY,2024/08/05 23:21:02+00,JLAY,2024/08/05 23:25:21+00,17286,2027/03/31 04:00:00+00,
-8583036.84194258,4711183.64738197,ABRA-127165,Lord of the Drinks Inc.,Boozevilla/ Lord of the Drinks,A,5185 MACARTHUR BOULEVARD NW,20016,Ward 3,ANC 3D,SMD 3D04,Active,Internet,,,,,,,,,,,,,,,,,,391092.19,139878.21,-77.10272948,38.92673614,275285,ABCALicenseePt_17287,{33C9C558-1D84-4415-8CFE-A1B2A28904FF},JLAY,2024/08/05 23:21:02+00,JLAY,2024/08/05 23:25:21+00,17287,2027/03/31 04:00:00+00,
-8582991.03377476,4710997.52594072,ABRA-078332,"A Modo Mio, Inc.",Et Voila,C,5120 MACARTHUR BOULEVARD NW,20016,Ward 3,ANC 3D,SMD 3D05,Active,Restaurant,,,,CHECKED,,,,,,,,,83,,,CHECKED,CHECKED,391127.71,139733.78,-77.10231797,38.92543543,285100,ABCALicenseePt_17288,{A6F1A69A-C842-41A4-B840-06599F0CF4C6},JLAY,2024/08/05 23:21:02+00,JLAY,2024/08/05 23:25:21+00,17288,2025/03/31 04:00:00+00,83
-8582991.03377476,4710997.52594072,ABRA-079032,"A Modo Mio, Inc.",Et Voila Catering,Caterer,5120 MACARTHUR BOULEVARD NW,20016,Ward 3,ANC 3D,SMD 3D05,Active,Caterer,,,,,,,,,,,,,,,,,,391127.71,139733.78,-77.10231797,38.92543543,285100,ABCALicenseePt_17289,{425813A4-48E9-4955-986E-5BC6292971E9},JLAY,2024/08/05 23:21:02+00,JLAY,2024/08/05 23:25:21+00,17289,2024/03/31 04:00:00+00,
-8582923.65901054,4710925.92006171,ABRA-107148,"Afghan Bistro Two, LLC",Bistro Aracosia,C,5100 MACARTHUR BOULEVARD NW,20016,Ward 3,ANC 3D,SMD 3D05,Active,Restaurant,,,,,,,,,,,,,99,,,CHECKED,,391180.13,139678.17,-77.10171274,38.92493501,224081,ABCALicenseePt_17290,{04D2B2C0-6320-4D73-AFB2-369089A2773D},JLAY,2024/08/05 23:21:02+00,JLAY,2024/08/05 23:25:21+00,17290,2025/03/31 04:00:00+00,99
-8582922.35760362,4711025.7162999,ABRA-086790,"Good Neighbors, LLC",Salt & Pepper,C,5125 MACARTHUR BOULEVARD NW,20016,Ward 3,ANC 3D,SMD 3D04,Active,Restaurant,,,,,CHECKED,,,,,,,,120,,,,,391181.23,139755.59,-77.10170105,38.92563211,224084,ABCALicenseePt_17291,{204A2518-BA0D-4959-BFD9-BFEBDCF222BA},JLAY,2024/08/05 23:21:02+00,JLAY,2024/08/05 23:25:21+00,17291,2025/03/31 04:00:00+00,120
-8582889.48880433,4710987.14719494,ABRA-106574,"Selva, LLC",Sweet Agave,C,5105 MACARTHUR BOULEVARD NW,20016,Ward 3,ANC 3D,SMD 3D04,Active,Restaurant,,,,CHECKED,,,,,,,,,80,,,CHECKED,,391206.8,139725.64,-77.10140578,38.9253629,285089,ABCALicenseePt_17292,{1D38CEB9-7AC5-47B5-B422-B1F4B0B05987},JLAY,2024/08/05 23:21:02+00,JLAY,2024/08/05 23:25:21+00,17292,2025/03/31 04:00:00+00,80
-8582873.46171856,4710982.047704,ABRA-075442,"PRG, Inc.",Bambu,C,5101 MACARTHUR BOULEVARD NW,20016,Ward 3,ANC 3D,SMD 3D04,Active,Restaurant,,,,,CHECKED,,,,,,,,136,,,CHECKED,,391219.28,139721.67,-77.10126181,38.92532693,224085,ABCALicenseePt_17293,{CE2A0016-3A17-452D-BD08-77D6B88D08E8},JLAY,2024/08/05 23:21:02+00,JLAY,2024/08/05 23:25:21+00,17293,2025/03/31 04:00:00+00,136
-8582540.13743236,4713826.3279172,ABRA-118047,The Warehouse Wine Company L.L.C.,The Warehouse Wine Company,B,4301 50TH STREET NW,20016,Ward 3,ANC 3D,SMD 3D03,Active,Internet,,,,,,,,,,,,,,,,,,391481.3,141927.65,-77.0982675,38.94520196,269773,ABCALicenseePt_17294,{0CE456C9-0DE0-4133-962F-00599004BE21},JLAY,2024/08/05 23:21:02+00,JLAY,2024/08/05 23:25:21+00,17294,2026/09/30 04:00:00+00,
-8582539.53184829,4713896.28961082,ABRA-119892,"Silver Sauce, LLC",Silver Sauce/DMV Spirits,A,4315 50TH STREET NW,20016,Ward 3,ANC 3D,SMD 3D03,Active,Retail - Liquor Store,,,,,,CHECKED,,,,,,,,,,,,391481.83,141981.91,-77.09826206,38.94569075,269774,ABCALicenseePt_17295,{DE7E72E8-EEBB-45EF-AF7A-FF4E21734A03},JLAY,2024/08/05 23:21:02+00,JLAY,2024/08/05 23:25:21+00,17295,2027/03/31 04:00:00+00,
-8582390.28022814,4709917.2274087,ABRA-108341,"Black Coffee DC, LLC",Black Coffee,C,4885 MACARTHUR BOULEVARD NW,20007,Ward 3,ANC 3D,SMD 3D05,Active,Restaurant,,,,CHECKED,,,,,,,,,100,,,CHECKED,,391594.78,138895.14,-77.09692132,38.91788529,285009,ABCALicenseePt_17296,{4080D6B0-8E67-41FE-98CC-E00A3D83C9ED},JLAY,2024/08/05 23:21:02+00,JLAY,2024/08/05 23:25:21+00,17296,2025/03/31 04:00:00+00,100
-8582355.46623669,4709903.34464994,ABRA-060748,"Black Salt Fish, LLC",Black Salt Fish & Market,C,4883 MACARTHUR BOULEVARD NW,20007,Ward 3,ANC 3D,SMD 3D05,Active,Restaurant,,,,,,,,,,,,,130,,,CHECKED,,391621.89,138884.34,-77.09660858,38.91778826,285008,ABCALicenseePt_17297,{E1B900E9-6B96-469B-9450-568FF9665BAB},JLAY,2024/08/05 23:21:02+00,JLAY,2024/08/05 23:25:21+00,17297,2025/03/31 04:00:00+00,130
-8582340.43040806,4713838.97126815,ABRA-122806,BL Spring Valley DC LLC,Bluestone Lane Spring Valley,C,4872 MASSACHUSETTS AVENUE NW,20016,Ward 3,ANC 3D,SMD 3D02,Active,Restaurant,,,,CHECKED,,,,,,,,,110,,,CHECKED,,391636.83,141937.29,-77.09647351,38.94529029,285005,ABCALicenseePt_17298,{067CF030-D8F8-424B-92D3-19178302D1A8},JLAY,2024/08/05 23:21:02+00,JLAY,2024/08/05 23:25:21+00,17298,2025/03/31 04:00:00+00,110
-8582331.31321286,4709749.39005125,ABRA-071268,Abe Corporation,Kotobuki,C,4822 MACARTHUR BOULEVARD NW,20007,Ward 3,ANC 3D,SMD 3D05,Active,Restaurant,,,,,,,,,,,,,41,,,,,391640.58,138764.87,-77.09639161,38.91671188,284973,ABCALicenseePt_17299,{7F7A6AA2-F932-4CE5-BCAD-5B7BED4B3D88},JLAY,2024/08/05 23:21:02+00,JLAY,2024/08/05 23:25:21+00,17299,2025/03/31 04:00:00+00,41
-8582331.31321286,4709749.39005125,ABRA-122998,Wagyu Makoto DC LLC,Kappo,C,4822 MACARTHUR BOULEVARD NW,20007,Ward 3,ANC 3D,SMD 3D05,Active,Restaurant,,,,,,,,,,,,,33,,,,,391640.58,138764.87,-77.09639161,38.91671188,284973,ABCALicenseePt_17300,{D55FA22F-4E46-44C0-B4B4-593638DF1F24},JLAY,2024/08/05 23:21:02+00,JLAY,2024/08/05 23:25:21+00,17300,2025/03/31 04:00:00+00,33
-8582329.33439621,4709906.14345752,ABRA-000104,"Mac Arthur Liquors, Inc.",Bassin's Mac Arthur Liquors,A,4877 MACARTHUR BOULEVARD NW,20007,Ward 3,ANC 3D,SMD 3D05,Active,Retail - Liquor Store,,,,,,CHECKED,,,,CHECKED,,,,,,,,391642.25,138886.49,-77.09637383,38.91780782,285006,ABCALicenseePt_17301,{8369B507-547B-4B0D-9D23-647B9EF4A94D},JLAY,2024/08/05 23:21:02+00,JLAY,2024/08/05 23:25:21+00,17301,2027/03/31 04:00:00+00,
-8582333.30632825,4713805.04282328,ABRA-100214,"Millie's Spring Valley, LLC",Millie's,C,4866 MASSACHUSETTS AVENUE NW,20016,Ward 3,ANC 3D,SMD 3D02,Active,Restaurant,,,,,CHECKED,,,,,CHECKED,,,250,,,CHECKED,,391642.35,141910.97,-77.09640951,38.94505325,297630,ABCALicenseePt_17302,{3C701081-F02A-452A-9CFF-6FA7069AB732},JLAY,2024/08/05 23:21:02+00,JLAY,2024/08/05 23:25:21+00,17302,2025/03/31 04:00:00+00,250
-8582308.1628689,4709730.70046396,ABRA-101833,"AMML, LLC",LUPO OSTERIA,C,4814 MACARTHUR BOULEVARD NW,20007,Ward 3,ANC 3D,SMD 3D05,Active,Restaurant,,,,,,,,,,,,,89,,,CHECKED,,391658.6,138750.35,-77.09618364,38.91658158,284963,ABCALicenseePt_17303,{D3B5C804-8AC8-45C2-B988-C4DB11732146},JLAY,2024/08/05 23:21:02+00,JLAY,2024/08/05 23:25:21+00,17303,2025/03/31 04:00:00+00,89
-8582301.84933161,4713955.84206227,ABRA-101706,"Wagshal's PCI, LLC",Wagshal's,B,4857 MASSACHUSETTS AVENUE NW,20016,Ward 3,ANC 3E,SMD 3E06,Active,Retail - Full Service Grocery,,,,,,,,,,,,,,,,,,391666.97,142027.9,-77.09612693,38.94610649,284999,ABCALicenseePt_17304,{D5FBB4CC-8F41-4C84-9838-54F4F42AEA01},JLAY,2024/08/05 23:21:02+00,JLAY,2024/08/05 23:25:21+00,17304,2026/09/30 04:00:00+00,
-8582301.84933161,4713955.84206227,ABRA-101707,"Wagshal's PCI, LLC",Wagshal's/Chef Trini's,C,4857 MASSACHUSETTS AVENUE NW,20016,Ward 3,ANC 3E,SMD 3E06,Active,Restaurant,,,,CHECKED,,,,,,,,,40,,,,,391666.97,142027.9,-77.09612693,38.94610649,284999,ABCALicenseePt_17305,{32587F3D-0211-4192-B224-0E3CFA84FC25},JLAY,2024/08/05 23:21:02+00,JLAY,2024/08/05 23:25:21+00,17305,2025/03/31 04:00:00+00,40
-8582294.06136236,4713950.06098576,ABRA-015699,"F & A Enterprises, Inc",Wagshals Liquor & Deli,A,4855 MASSACHUSETTS AVENUE NW,20016,Ward 3,ANC 3E,SMD 3E06,Active,Retail - Liquor Store,,,,,,CHECKED,,,,,,,,,,,,391673.03,142023.41,-77.09605697,38.9460661,269572,ABCALicenseePt_17306,{03303087-8ED7-4C4E-95BA-1A5454694C77},JLAY,2024/08/05 23:21:02+00,JLAY,2024/08/05 23:25:21+00,17306,2027/03/31 04:00:00+00,
-8582289.14070328,4713776.15637241,ABRA-109295,"Paradise PPSV, LLC & M and A Hospitality",Pizzeria Paradiso and Cork Market,C,4850 MASSACHUSETTS AVENUE NW,20016,Ward 3,ANC 3D,SMD 3D02,Active,Restaurant,,,,,CHECKED,,,,,,,,138,,,CHECKED,,391676.72,141888.53,-77.09601276,38.94485109,314065,ABCALicenseePt_17307,{A54BBFF1-67C0-4A99-8A34-99F637491883},JLAY,2024/08/05 23:21:02+00,JLAY,2024/08/05 23:25:21+00,17307,2025/03/31 04:00:00+00,138
-8582180.85453256,4713903.62063599,ABRA-093245,"Wagshals Bakery and Catering Kitchen, LLC",Spring Valley Catering,Caterer,4330 48TH STREET NW,20016,Ward 3,ANC 3E,SMD 3E06,Active,Caterer,,,,,,,,,,,,,,,,,,391761.15,141987.3,-77.09504001,38.94574197,269574,ABCALicenseePt_17308,{94CFC236-C906-4C2A-B118-6C4FE5F8461F},JLAY,2024/08/05 23:21:02+00,JLAY,2024/08/05 23:25:21+00,17308,2024/03/31 04:00:00+00,
-8581443.34111434,4712950.37686334,ABRA-115174,"Compass Group USA, Inc.",Mary Graydon Center @ American University,Caterer,4400 MASSACHUSETTS AVENUE NW,20016,Ward 3,ANC 3E,SMD 3E07,Active,Caterer,,,,,,,,,,,,,,,,,,392334.76,141247.38,-77.08841482,38.93908176,223994,ABCALicenseePt_17309,{0E0C8100-8AA1-448E-AE87-D1A35E99FA60},JLAY,2024/08/05 23:21:02+00,JLAY,2024/08/05 23:25:21+00,17309,2024/03/31 04:00:00+00,
-8581345.41611346,4708656.28796254,ABRA-116739,"I & I Palisades, Inc.",Palisades Deli & Market,B,4554 MACARTHUR BOULEVARD NW,20007,Ward 3,ANC 3D,SMD 3D06,Active,Retail - Grocery,,,,,,,,,,,,,,,,,,392407.83,137915.93,-77.08753515,38.90907164,224357,ABCALicenseePt_17310,{DB5241CE-88D6-4998-B966-0E691B77325A},JLAY,2024/08/05 23:21:02+00,JLAY,2024/08/05 23:25:21+00,17310,2026/09/30 04:00:00+00,
-8581232.52636788,4715747.69652817,ABRA-119655,"Privateer 4400, LLC",TBD,C,4400 JENIFER STREET NW,20015,Ward 3,ANC 3E,SMD 3E04,405.1 New Const,Tavern,,CHECKED,,,,,,,,,,,297,,,,,392501,143416.65,-77.08652104,38.95862456,267739,ABCALicenseePt_17311,{47F526E6-99CE-4B84-B572-71FE6FD5F8FB},JLAY,2024/08/05 23:21:02+00,JLAY,2024/08/05 23:25:21+00,17311,2022/09/30 04:00:00+00,
