State,State Abbreviation,mother
California,CA,California (CA)
Texas,TX,Texas (TX)
Florida,FL,Florida (FL)
New York,NY,New York (NY)
Pennsylvania,PA,Pennsylvania (PA)
Illinois,IL,Illinois (IL)
Ohio,OH,Ohio (OH)
Georgia,GA,Georgia (GA)
North Carolina,NC,North Carolina (NC)
Michigan,MI,Michigan (MI)
New Jersey,NJ,New Jersey (NJ)
Virginia,VA,Virginia (VA)
Washington,WA,Washington (WA)
Arizona,AZ,Arizona (AZ)
Tennessee,TN,Tennessee (TN)
Massachusetts,MA,Massachusetts (MA)
Indiana,IN,Indiana (IN)
Missouri,MO,Missouri (MO)
Maryland,MD,Maryland (MD)
Wisconsin,WI,Wisconsin (WI)
Colorado,CO,Colorado (CO)
Minnesota,MN,Minnesota (MN)
South Carolina,SC,South Carolina (SC)
Alabama,AL,Alabama (AL)
Louisiana,LA,Louisiana (LA)
Kentucky,KY,Kentucky (KY)
Oregon,OR,Oregon (OR)
Oklahoma,OK,Oklahoma (OK)
Connecticut,CT,Connecticut (CT)
Utah,UT,Utah (UT)
Iowa,IA,Iowa (IA)
Nevada,NV,Nevada (NV)
Arkansas,AR,Arkansas (AR)
Kansas,KS,Kansas (KS)
Mississippi,MS,Mississippi (MS)
New Mexico,NM,New Mexico (NM)
Idaho,ID,Idaho (ID)
Nebraska,NE,Nebraska (NE)
West Virginia,WV,West Virginia (WV)
Hawaii,HI,Hawaii (HI)
New Hampshire,NH,New Hampshire (NH)
Maine,ME,Maine (ME)
Montana,MT,Montana (MT)
Rhode Island,RI,Rhode Island (RI)
Delaware,DE,Delaware (DE)
South Dakota,SD,South Dakota (SD)
North Dakota,ND,North Dakota (ND)
Alaska,AK,Alaska (AK)
Vermont,VT,Vermont (VT)
Wyoming,WY,Wyoming (WY)
